event,event_date,asset,asset_name,day,AR,CAR,direction
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,0,-0.35498085355084497,-1.5379121047557605,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,1,-0.28330642420935526,-1.8212185289651157,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,2,0.26301989354280153,-1.5581986354223143,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,3,0.8925645459568032,-0.6656340894655111,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,4,0.39134404656136335,-0.2742900429041477,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,5,2.371373006932816,2.097082964028668,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,6,-0.3554842544300642,1.7415987095986036,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,7,-1.9295019349299383,-0.18790322533133463,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,8,-2.0455158223856635,-2.233419047716998,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,9,0.8081727477056491,-1.4252463000113489,green_positive
Biden UN Climate Ambition Summit,2023-09-20,XLE,Fossil Fuels,10,-3.7570625247377527,-5.182308824749102,green_positive
Biden LNG Export Pause,2024-01-26,ICLN,Clean Energy,-5,-1.744520376946638,-1.744520376946638,green_positive
Biden LNG Export Pause,2024-01-26,ICLN,Clean Energy,-4,0.9799217361869814,-0.7645986407596566,green_positive
